Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
No Time to Die,2021,7.6,"107,163","Action, Adventure, Thriller",163 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
The Guilty,2021,6.3,"64,375","Crime, Drama, Thriller",90 ,Film,R,-,None,None,Severe,None,Moderate
The Many Saints of Newark,2021,6.4,"27,145","Crime, Drama",120 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
Venom: Let There Be Carnage,2021,6.4,"30,443","Action, Adventure, Sci-Fi",97 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Dune,2021,8.3,"84,636","Action, Adventure, Drama",155 ,Film,PG-13,-,None,Moderate,None,Mild,Moderate
Ted Lasso,2021,8.8,"117,562","Comedy, Drama, Sport",30 ,Series,TV-MA,23,Mild,None,Severe,Mild,None
Free Guy,2021,7.3,"153,835","Action, Adventure, Comedy",115 ,Film,PG-13,-,Mild,Moderate,Moderate,None,Mild
House of the Dragon,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
What If...?,2021,7.6,"51,959","Animation, Action, Adventure",None,Series,TV-14,18,None,Moderate,Mild,Mild,Moderate
Sex Education,2021,8.3,"220,201","Comedy, Drama",45 ,Series,TV-MA,25,Severe,Mild,Severe,Moderate,Mild
The Walking Dead,2021,8.2,"906,327","Drama, Horror, Thriller",44 ,Series,TV-14,177,Mild,Severe,Moderate,Mild,Severe
The Chestnut Man,2021,7.9,"15,434","Crime, Drama, Mystery",50 ,Series,TV-MA,6,Mild,Moderate,Mild,None,Moderate
Foundation,2021,7.4,"16,675","Drama, Sci-Fi",None,Series,TV-14,11,Mild,Moderate,Mild,No Rate,Mild
The Sopranos,2021,9.2,"340,006","Crime, Drama",55 ,Series,TV-MA,86,Severe,Severe,Severe,Severe,Severe
Only Murders in the Building,2021,8.3,"22,988","Comedy, Crime, Drama",None,Series,TV-MA,11,Mild,Moderate,Severe,Mild,Mild
American Horror Story,2021,8.0,"296,306","Drama, Horror, Thriller",60 ,Series,TV-MA,116,Severe,Severe,Severe,Severe,Severe
